chem_code	from	bigslice_class	bigslice_subclass
bottromycin	as8	RiPP	bottromycin
microviridin	as8	RiPP	microviridin
proteusin	as8	RiPP	proteusin
ranthipeptide	as8	RiPP	ranthipeptide
redox-cofactor	as8	RiPP	redox-cofactor
darobactin	as8	RiPP	darobactin
triceptide	as8	RiPP	triceptide
archaeal-RiPP	as8	RiPP	archaeal-RiPP
epipeptide	as8	RiPP	epipeptide
cyclic-lactone-autoinducer	as8	RiPP	cyclic-lactone-autoinducer
spliceotide	as8	RiPP	spliceotide
RaS-RiPP	as8	RiPP	RaS-RiPP
fungal-RiPP	as8	RiPP	fungal-RiPP
blactam	as8	Other	blactam
2dos	as8	Other	2dos
amglyccycl	as8	Saccharide	amglyccycl
aminocoumarin	as8	Other	aminocoumarin
azoxy-crosslink	as8	Other	azoxy-crosslink
azoxy-dimer	as8	Other	azoxy-dimer
cytokinin	as8	Other	cytokinin
NI-siderophore	as8	Other	siderophore
ectoine	as8	Other	ectoine
NAGGN	as8	Other	NAGGN
butyrolactone	as8	Other	butyrolactone
indole	as8	Other	indole
lincosamides	as8	Other	lincosamides
nucleoside	as8	Other	nucleoside
phosphoglycolipid	as8	Other	phosphoglycolipid
melanin	as8	Other	melanin
oligosaccharide	as8	Saccharide	oligosaccharide
furan	as8	Other	furan
hserlactone	as8	Other	hserlactone
phenazine	as8	Other	phenazine
phosphonate	as8	Other	phosphonate
guanidinotides	as8	RiPP	guanidinotides
other	as8	Other	other
acyl_amino_acids	as8	Other	acyl_amino_acids
PBDE	as8	Other	PBDE
polyyne	as8	Other	polyyne
betalactone	as8	Other	betalactone
tropodithietic-acid	as8	Other	tropodithietic-acid
pyrrolidine	as8	Other	pyrrolidine
crocagin	as8	RiPP	crocagin
NRP-metallophore	as8	NRP	metallophore
methanobactin	as8	RiPP	methanobactin
nitropropanoic_acid	as8	Other	nitropropanoic_acid
opine-like-metallophore	as8	Other	opine-like-metallophore
aminopolycarboxylic-acid	as8	Other	aminopolycarboxylic-acid
isocyanide	as8	Other	isocyanide
isocyanide-nrp	as8	NRP	isocyanide-nrp
hydrogen-cyanide	as8	Other	hydrogen-cyanide
hydroxytropolone	as8	Other	hydroxytropolone
deazapurine	as8	Other	deazapurine
NRPS-like	as8	NRP	NRPS-like
PKS-like	as8	Polyketide	PKS-like
transAT-PKS-like	as8	Polyketide	transAT-PKS-like
RiPP-like	as8	RiPP	RiPP-like
RRE-containing	as8	RiPP	RRE-containing
phosphonate-like	as8	Other	phosphonate-like
terpene-precursor	as8	Terpene	terpene-precursor
saccharide	as8	Saccharide	generic
fatty_acid	as8	Other	fatty_acid
fungal-RiPP-like	as8	RiPP	fungal-RiPP-like
lysine	as8	NRP	lysine
quinone_isoprenoid_chain	as8	Terpene	quinone_isoprenoid_chain
halogenated	as8	Other	halogenated
hglE-KS	as8	Polyketide	hglE-KS
Alkaloid	mibig	Alkaloid	unknown
NRP	mibig	NRP	unknown
Other	mibig	Other	unknown
Polyketide	mibig	Polyketide	unknown
RiPP	mibig	RiPP	unknown
Saccharide	mibig	Saccharide	unknown
Terpene	mibig	Terpene	unknown
alkaloid	plant	Alkaloid	generic
lignan	plant	Other	lignan
plant	plant	Other	other
polyketide	plant	Polyketide	unknown
cyclopeptide	plant	RiPP	generic
saccharide	plant	Saccharide	generic
sesterterpene	plant	Terpene	sesterterpene
terpene	plant	Terpene	generic
